timestamp,forecast_kwh,lower_95_kwh,upper_95_kwh,zone_name,import_price_uah_kwh,forecast_cost_uah
2026-01-01 00:00:00,33.295071113075565,27.69465011955361,38.895492106597516,night,5.6,186.45239823322316
2026-01-01 01:00:00,33.216638428896836,27.61621743537488,38.817059422418794,night,5.6,186.01317520182226
2026-01-01 02:00:00,33.216638428896836,27.61621743537488,38.817059422418794,night,5.6,186.01317520182226
2026-01-01 03:00:00,33.216638428896836,27.61621743537488,38.817059422418794,night,5.6,186.01317520182226
2026-01-01 04:00:00,33.26316074086446,27.662739747342503,38.863581734386415,night,5.6,186.27370014884096
2026-01-01 05:00:00,34.353984694776386,28.753563701254432,39.95440568829834,night,5.6,192.38231429074776
2026-01-01 06:00:00,46.12160976154373,40.52118876802177,51.72203075506569,night,5.6,258.2810146646449
2026-01-01 07:00:00,45.810367525346315,40.20994653182436,51.41078851886827,half_peak,6.9,316.09153592488957
2026-01-01 08:00:00,45.667390046115216,40.066969052593265,51.26781103963717,peak,9.0,411.0065104150369
2026-01-01 09:00:00,50.81593315786646,45.2155121643445,56.41635415138842,peak,9.0,457.34339842079817
2026-01-01 10:00:00,51.47952481749669,45.87910382397473,57.079945811018646,peak,9.0,463.3157233574702
2026-01-01 11:00:00,49.95690457155648,44.35648357803453,55.55732556507843,half_peak,6.9,344.70264154373973
2026-01-01 12:00:00,45.23696575471143,39.63654476118947,50.837386748233385,half_peak,6.9,312.1350637075089
2026-01-01 13:00:00,44.46279028856973,38.86236929504777,50.063211282091686,half_peak,6.9,306.7932529911311
2026-01-01 14:00:00,44.79691031019882,39.19648931667686,50.397331303720776,half_peak,6.9,309.09868114037187
2026-01-01 15:00:00,50.286025951903284,44.68560495838133,55.886446945425234,half_peak,6.9,346.97357906813266
2026-01-01 16:00:00,50.87213344572731,45.27171245220535,56.472554439249265,half_peak,6.9,351.01772077551846
2026-01-01 17:00:00,51.099974503804525,45.49955351028257,56.70039549732648,peak,9.0,459.8997705342407
2026-01-01 18:00:00,51.0454150230369,45.444994029514945,56.64583601655886,peak,9.0,459.40873520733214
2026-01-01 19:00:00,45.33125854122114,39.73083754769918,50.9316795347431,peak,9.0,407.98132687099024
2026-01-01 20:00:00,45.15355330222715,39.5531323087052,50.7539742957491,peak,9.0,406.38197972004434
2026-01-01 21:00:00,46.11522784176428,40.51480684824233,51.71564883528623,peak,9.0,415.03705057587854
2026-01-01 22:00:00,34.052394390995396,28.45197339747344,39.65281538451735,half_peak,6.9,234.96152129786825
2026-01-01 23:00:00,34.19389476743598,28.593473773914024,39.79431576095793,night,5.6,191.48581069764145
2026-01-02 00:00:00,33.133622773087374,27.53320177956542,38.73404376660933,night,5.6,185.5482875292893
2026-01-02 01:00:00,33.551625476971225,27.95120448344927,39.152046470493175,night,5.6,187.88910267103884
2026-01-02 02:00:00,33.303407782939935,27.70298678941798,38.90382877646189,night,5.6,186.49908358446362
2026-01-02 03:00:00,33.303407782939935,27.70298678941798,38.90382877646189,night,5.6,186.49908358446362
