timestamp,consumption_kwh,expected_kwh,deviation_pct
2025-01-31 09:00:00,77.03,49.41,55.9
2025-11-14 02:00:00,46.94,32.39,44.9
2025-11-15 07:00:00,55.15,38.81,42.1
2025-01-31 12:00:00,61.78,43.74,41.3
2025-11-16 12:00:00,53.74,38.47,39.7
2025-03-27 17:00:00,67.28,48.49,38.8
2025-02-09 06:00:00,52.82,39.01,35.4
2025-01-13 02:00:00,44.1,32.69,34.9
2025-12-20 18:00:00,57.29,42.54,34.7
2025-01-01 16:00:00,65.0,48.54,33.9
2025-12-28 15:00:00,57.63,43.12,33.6
2025-02-21 12:00:00,58.3,43.74,33.3
2025-12-28 20:00:00,51.82,39.0,32.9
2025-02-17 23:00:00,45.05,34.03,32.4
2025-04-30 01:00:00,43.11,32.59,32.3
2025-01-13 22:00:00,43.66,33.14,31.7
2025-01-03 21:00:00,58.41,44.44,31.4
2025-02-20 07:00:00,57.75,43.98,31.3
2025-09-04 01:00:00,42.4,32.32,31.2
2025-01-12 06:00:00,51.17,39.01,31.2
2025-12-29 13:00:00,56.6,43.15,31.2
2025-12-15 08:00:00,57.83,44.11,31.1
2025-12-31 08:00:00,57.44,43.88,30.9
2025-12-23 14:00:00,56.61,43.29,30.8
2025-02-02 16:00:00,56.0,42.85,30.7
2025-01-06 10:00:00,63.5,48.65,30.5
2025-01-01 10:00:00,64.08,49.21,30.2
2025-02-14 06:00:00,57.5,44.23,30.0
2025-01-17 17:00:00,63.3,48.73,29.9
2025-02-11 07:00:00,57.91,44.62,29.8
2025-01-30 21:00:00,57.49,44.3,29.8
2025-12-19 08:00:00,56.22,43.32,29.8
2025-01-13 06:00:00,57.84,44.84,29.0
2025-01-13 09:00:00,63.19,48.99,29.0
2025-01-17 16:00:00,63.56,49.28,29.0
2025-09-12 08:00:00,30.95,43.32,-28.6
2025-01-29 15:00:00,62.66,48.76,28.5
2025-12-18 20:00:00,56.13,43.7,28.4
2025-02-09 11:00:00,54.47,42.43,28.4
2025-01-05 09:00:00,54.65,42.58,28.3
2025-02-03 06:00:00,57.55,44.84,28.3
2025-12-26 08:00:00,55.58,43.32,28.3
2025-01-08 20:00:00,57.03,44.48,28.2
2025-02-17 08:00:00,56.55,44.11,28.2
2025-08-27 20:00:00,32.06,44.48,-27.9
2025-01-29 07:00:00,57.06,44.65,27.8
2025-12-25 14:00:00,55.75,43.67,27.7
2025-01-22 14:00:00,55.88,43.77,27.7
2025-10-01 06:00:00,58.19,45.6,27.6
2025-01-20 18:00:00,62.29,48.82,27.6
